mention_id,mention,sentence,predictions,scores
5603098-0,Alyan Muhammad Ali al - Wa'eli,"Alyan Muhammad Ali al - Wa'eli ( Arabic : ) ( born in 1970 in Yemen ) became wanted in 2002 , by the United States Department of Justice 's FBI , which was then seeking information about his identity and whereabouts .",['/person'],[0.885439992]
5603098-1,Arabic,"Alyan Muhammad Ali al - Wa'eli ( Arabic : ) ( born in 1970 in Yemen ) became wanted in 2002 , by the United States Department of Justice 's FBI , which was then seeking information about his identity and whereabouts .",['/language'],[0.9752380848]
5603098-2,Yemen,"Alyan Muhammad Ali al - Wa'eli ( Arabic : ) ( born in 1970 in Yemen ) became wanted in 2002 , by the United States Department of Justice 's FBI , which was then seeking information about his identity and whereabouts .","['/location', '/location/country']","[0.9934547544, 0.8485845327]"
5603098-3,United States Department of Justice,"Alyan Muhammad Ali al - Wa'eli ( Arabic : ) ( born in 1970 in Yemen ) became wanted in 2002 , by the United States Department of Justice 's FBI , which was then seeking information about his identity and whereabouts .","['/organization/government_agency', '/organization', '/organization/government']","[0.9742754698, 0.969978869, 0.7288317084]"
5603098-4,FBI,"Alyan Muhammad Ali al - Wa'eli ( Arabic : ) ( born in 1970 in Yemen ) became wanted in 2002 , by the United States Department of Justice 's FBI , which was then seeking information about his identity and whereabouts .","['/organization/government_agency', '/organization', '/organization/military']","[0.9609672427, 0.992582798, 0.7902044654]"
11205731-0,Hellenistic Judaism,The reasons for the decline of Hellenistic Judaism are obscure .,['/religion'],[0.5257460475]
16315-0,Sanskrit,"Sanskrit scholar and former psychoanalyst Jeffrey Moussaieff Masson said that he once met Campbell , and that the two "" hated each other at sight "" .",['/language'],[0.7214378715]
16315-1,Jeffrey Moussaieff Masson,"Sanskrit scholar and former psychoanalyst Jeffrey Moussaieff Masson said that he once met Campbell , and that the two "" hated each other at sight "" .","['/person', '/person/author']","[0.9897882938, 0.6933823824]"
16315-2,Campbell,"Sanskrit scholar and former psychoanalyst Jeffrey Moussaieff Masson said that he once met Campbell , and that the two "" hated each other at sight "" .","['/person', '/person/author']","[0.9943903089, 0.7645703554]"
3542375-0,Project 955,"The submarine needed to be redesigned to accommodate the new missile , and the design name was changed to Project 955 .",['/product'],[0.3615509272]
1051892-0,Tvashtar Paterae,These observations revealed a new plume at Tvashtar Paterae and provided insights into Io 's aurorae .,"['/location', '/location/astral_body']","[0.7597962022, 0.6666348577]"
1051892-1,Io,These observations revealed a new plume at Tvashtar Paterae and provided insights into Io 's aurorae .,"['/location', '/location/astral_body']","[0.87283957, 0.9873021841]"
18847660-0,ESPN,ESPN would cover all 12 rounds live .,"['/person', '/organization', '/broadcast_network', '/organization/news_agency', '/organization/company']","[0.9347916245, 0.9565426111, 0.9028554559, 0.9632219076, 0.9021586776]"
25364253-0,General,"This was due in part to the unit 's colorful uniform and military bearing , but more so because General Meade , himself also a Philadelphia native , was particularly fond of the 114th 's regimental band which was considered one of the best in the Army of the Potomac .",['/person'],[0.5243734717]
25364253-1,Meade,"This was due in part to the unit 's colorful uniform and military bearing , but more so because General Meade , himself also a Philadelphia native , was particularly fond of the 114th 's regimental band which was considered one of the best in the Army of the Potomac .",['/person'],[0.9855492711]
25364253-2,Philadelphia,"This was due in part to the unit 's colorful uniform and military bearing , but more so because General Meade , himself also a Philadelphia native , was particularly fond of the 114th 's regimental band which was considered one of the best in the Army of the Potomac .","['/location', '/location/city']","[0.8279879689, 0.8433135748]"
25364253-3,Army of the Potomac,"This was due in part to the unit 's colorful uniform and military bearing , but more so because General Meade , himself also a Philadelphia native , was particularly fond of the 114th 's regimental band which was considered one of the best in the Army of the Potomac .","['/organization', '/organization/military']","[0.7947206497, 0.6882454157]"
21560-0,NYSE,"The NYSE is owned by Intercontinental Exchange , an American holding company it also lists ( ) .","['/stock_exchange', '/organization', '/organization/company']","[0.987264514, 0.976921618, 0.9681031704]"
21560-1,Intercontinental Exchange,"The NYSE is owned by Intercontinental Exchange , an American holding company it also lists ( ) .","['/organization', '/organization/company']","[0.8243046403, 0.7906213403]"
1563350-0,Vice : Project Doom,"Vice : Project Doom "" is a side - scrolling platformer similar to the "" Ninja Gaiden "" series for the NES , with the addition of gun shooting and driving segments as well .",['/product/game'],[0.5204795599]
1563350-1,Ninja Gaiden,"Vice : Project Doom "" is a side - scrolling platformer similar to the "" Ninja Gaiden "" series for the NES , with the addition of gun shooting and driving segments as well .","['/product', '/product/game']","[0.9093034267, 0.9632543325]"
1563350-2,NES,"Vice : Project Doom "" is a side - scrolling platformer similar to the "" Ninja Gaiden "" series for the NES , with the addition of gun shooting and driving segments as well .","['/product', '/product/software', '/product/computer']","[0.9927132726, 0.7324237823, 0.9239688516]"
16722557-0,SR 174,"SR 174 begins at a junction with in Leahy and travels eastward to Grand Coulee , near the Grand Coulee Dam , to intersect .","['/location', '/location/road']","[0.9186636209, 0.9891924262]"
16722557-1,Leahy,"SR 174 begins at a junction with in Leahy and travels eastward to Grand Coulee , near the Grand Coulee Dam , to intersect .","['/person', '/location', '/location/city']","[0.529497087, 0.979231596, 0.8407933712]"
16722557-2,Grand Coulee,"SR 174 begins at a junction with in Leahy and travels eastward to Grand Coulee , near the Grand Coulee Dam , to intersect .","['/location', '/location/city']","[0.9994117022, 0.5795204639]"
16722557-3,Grand Coulee Dam,"SR 174 begins at a junction with in Leahy and travels eastward to Grand Coulee , near the Grand Coulee Dam , to intersect .",['/location'],[0.9971790314]
16831007-0,Hydrogen peroxide,Hydrogen peroxide is also a bleaching agent that can be used to treat stains .,['/chemical_thing'],[0.9972405434]
25041-0,Lockheed,"The Lockheed design incorporated tricycle undercarriage and a bubble canopy , and featured two 1,000 hp ( 746 kW ) turbosupercharged 12 - cylinder Allison V -1710 engines fitted with counter-rotating propellers to eliminate the effect of engine torque , with the turbochargers positioned behind the engines , the exhaust side of the units exposed along the dorsal surfaces of the booms .",['/organization/company'],[0.640838027]
25041-1,Allison V -1710,"The Lockheed design incorporated tricycle undercarriage and a bubble canopy , and featured two 1,000 hp ( 746 kW ) turbosupercharged 12 - cylinder Allison V -1710 engines fitted with counter-rotating propellers to eliminate the effect of engine torque , with the turbochargers positioned behind the engines , the exhaust side of the units exposed along the dorsal surfaces of the booms .","['/product/airplane', '/product', '/product/engine']","[0.6945497394, 0.8793167472, 0.8817522526]"
351039-0,Hotmail,Hotmail was able to sign up 12 million users in 18 months .,"['/organization', '/organization/company']","[0.6230844259, 0.5814046264]"
2560333-0,Carl Christian Rafn,Carl Christian Rafn positioned Great Ireland in Chesapeake Bay .,['/person'],[0.9556998014]
2560333-1,Great Ireland,Carl Christian Rafn positioned Great Ireland in Chesapeake Bay .,['/location'],[0.95468086]
2560333-2,Chesapeake Bay,Carl Christian Rafn positioned Great Ireland in Chesapeake Bay .,"['/location', '/location/body_of_water']","[0.9761249423, 0.7450293899]"
12499811-0,Michael Jackson,"There have also been many parodies of the video parodying various people , including Michael Jackson and Barney , as well as a cover by American post-hardcore band I Set My Friends on Fire .","['/person', '/person/actor', '/person/musician', '/person/artist', '/person/author']","[0.9829482436, 0.9055913687, 0.8466272354, 0.9711503983, 0.6793932915]"
12499811-1,Barney,"There have also been many parodies of the video parodying various people , including Michael Jackson and Barney , as well as a cover by American post-hardcore band I Set My Friends on Fire .","['/person', '/person/actor', '/person/artist']","[0.9763063788, 0.7103970051, 0.7140394449]"
12499811-2,I Set My Friends on Fire,"There have also been many parodies of the video parodying various people , including Michael Jackson and Barney , as well as a cover by American post-hardcore band I Set My Friends on Fire .","['/organization/music', '/art']","[0.5052853823, 0.5775134563]"
5633928-0,spleen,"Aside from the uniform involvement of the spleen , the bone marrow is frequently positive in patients with SMZL .",['/body_part'],[0.9939278364]
5633928-1,bone marrow,"Aside from the uniform involvement of the spleen , the bone marrow is frequently positive in patients with SMZL .",['/body_part'],[0.9458143115]
5633928-2,SMZL,"Aside from the uniform involvement of the spleen , the bone marrow is frequently positive in patients with SMZL .",['/organization'],[0.5284364223]
1062621-0,LM2500,LM2500 installations place the engine inside a metal container for sound and heat isolation from the rest of the machinery spaces .,['/product'],[0.9401754141]
11157348-0,naphthenates,"Often in technical literature , naphthenates are described as salts , but they are probably also non-ionic coordination complexes with structures similar to basic zinc acetate .",['/chemical_thing'],[0.5609205961]
